,question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
0,Critique a major study or paper regarding Earth's layers.,Geography,Earth's layers,69.1,0.71,994.0,705.0,6.0,Evaluate,Easy
1,Summarize the key experimental findings related to Russian Revolution.,History,Russian Revolution,63.15,0.68,619.0,420.0,16.0,Apply,Hard
2,Evaluate the impact of Social Institutions on society today.,Social Science,Social Institutions,66.37,0.71,903.0,641.0,2.0,Evaluate,Moderate
3,What are the most common misconceptions about Western Ghats?,Geography,Western Ghats,53.11,0.52,649.0,337.0,5.0,Understand,Moderate
4,What are the most common misconceptions about Interference?,Physics,Interference,53.6,0.52,2218.0,1153.0,16.0,Analyze,Hard
5,How has the understanding of Supply and Demand evolved since the 20th century?,Economics,Supply and Demand,90.82,0.92,617.0,567.0,11.0,Create,Hard
6,Discuss the ethical challenges associated with Interference.,Physics,Interference,91.79,0.92,2157.0,1984.0,16.0,Understand,Easy
7,Propose a solution to a common challenge in Industrial Revolution.,History,Industrial Revolution,41.44,0.45,2344.0,1054.0,7.0,Analyze,Medium
8,Examine the cross-disciplinary applications of Political Science in other fields.,Social Science,Political Science,63.59,0.67,1855.0,1242.0,16.0,Understand,Medium
9,Identify the three most critical components of Ecosystems.,Biology,Ecosystems,47.82,0.52,526.0,273.0,6.0,Analyze,Hard
10,What is the significance of Algorithms in modern Computer Science research?,Computer Science,Algorithms,43.27,0.39,1143.0,445.0,13.0,Remember,Easy
11,How does Vocabulary affect the global economy or environment?,English,Vocabulary,33.14,0.33,743.0,245.0,8.0,Apply,Hard
12,How does Material Science affect the global economy or environment?,Science,Material Science,48.25,0.53,2941.0,1558.0,18.0,Remember,Medium
13,Discuss the ethical challenges associated with Binary Search Trees.,Computer Science,Binary Search Trees,90.48,0.95,2363.0,2244.0,13.0,Understand,Easy
14,Examine the cross-disciplinary applications of Urbanization in other fields.,Geography,Urbanization,14.6,0.14,258.0,36.0,17.0,Create,Easy
